森田一義,ビートたけし,明石家さんま,所ジョージ,笑福亭鶴瓶,とんねるず,ダウンタウン,ウッチャンナンチャン,爆笑問題,さまぁ～ず,今田耕司,東野幸治,江頭2:50,ネプチューン,くりぃむしちゅー,雨上がり決死隊,ナインティナイン,キャイ～ン,ココリコ,オアシズ,よゐこ,加藤浩次,千原ジュニア,カンニング,土田晃之,ケンドーコバヤシ,ロンドンブーツ,ビビる大木,タカアンドトシ,ブラックマヨネーズ,フットボールアワー,チュートリアル,バナナマン,おぎやはぎ,有吉弘行,山崎弘也,劇団ひとり,小籔千豊,アンジャッシュ,バカリズム,オードリー,ピース,平成ノブシコブシ,ウーマンラッシュアワー,NON STYLE,山里亮太,キングコング,ドランクドラゴン,インパルス,ロバート,アンガールズ,千鳥,森三中,柳原可奈子,ハリセンボン,オリエンタルラジオ,狩野英孝,ハライチ
7,7,7,1,7,9,9,7,11,19,7,2,1,7,12,20,3,12,10,20,27,7,21,435,34,6,35,32,22,6,31,10,57,43,53,56,11,15,31,8,18,26,42,5,2,6,2,34,9,20,27,18,14,8,20,15,39,44,
0,2,5,0,2,2,8,73,34,4,13,2,4,92,10,57,22,29,11,24,16,5,15,34,604,25,14,39,5,3,27,17,83,24,46,21,81,18,45,5,104,23,19,16,4,10,2,29,3,21,17,5,45,9,27,28,35,49,
2,3,4,1,4,0,23,7,0,1,16,6,4,15,8,30,74,11,8,15,18,7,79,6,25,341,3,69,8,18,13,15,83,24,45,13,15,9,15,4,17,22,13,4,2,6,1,9,8,19,15,12,11,63,18,12,14,7,
4,4,4,2,4,2,5,3,5,7,1,0,2,1,2,8,7,9,7,30,14,12,29,35,14,3,312,5,10,4,29,15,5,19,52,42,5,13,18,1,13,14,36,8,1,7,3,13,8,5,20,16,11,7,15,8,35,5,
6,5,8,8,11,4,34,8,9,3,6,7,0,23,11,79,78,11,6,21,8,9,13,32,39,69,5,750,9,5,73,10,140,18,58,12,20,32,32,10,15,20,11,6,0,12,2,14,13,20,29,8,20,134,19,11,36,17,
103,10,4,5,38,7,2,5,109,76,6,24,1,4,59,5,9,16,57,22,107,5,54,22,5,8,10,9,675,8,26,6,42,6,2,123,44,8,28,2,77,102,18,8,2,10,2,20,22,33,13,15,15,164,76,62,3,45,
0,3,67,1,2,0,5,12,3,3,3,2,0,1,2,9,3,4,3,6,7,4,7,6,3,18,4,5,8,384,9,3,3,3,5,6,1,4,6,1,3,11,13,7,3,3,2,9,8,12,6,8,11,6,51,4,4,5,
6,2,13,3,6,0,14,8,30,13,29,54,5,22,25,182,27,16,9,44,24,9,87,31,27,13,29,73,26,9,761,124,19,32,41,48,37,66,50,6,18,140,58,18,4,5,7,30,9,33,68,25,41,66,26,42,36,9,
0,2,7,1,0,0,3,13,1,0,65,10,3,82,84,30,14,13,12,34,10,4,10,10,17,15,15,10,6,3,124,426,9,17,25,18,28,1,29,7,14,27,18,15,1,62,2,8,5,18,12,7,38,2,20,13,13,2,
128,73,2,2,56,53,20,10,61,117,4,4,2,45,32,85,77,27,6,37,20,5,76,57,83,83,5,140,42,3,19,9,1183,87,64,72,132,88,33,40,21,80,45,7,1,4,2,39,11,26,51,7,14,103,53,46,58,118,
2,6,4,7,6,39,26,6,6,15,6,5,0,4,13,25,6,17,8,29,17,10,16,43,24,24,19,18,6,3,32,17,87,556,76,33,70,14,50,19,15,25,43,4,0,24,5,24,8,16,31,15,16,9,19,5,32,13,
0,2,1,0,1,24,5,47,10,3,0,8,4,38,64,25,37,13,5,55,14,2,22,53,46,45,52,58,2,5,41,25,64,76,906,36,22,11,57,60,37,56,69,14,0,74,5,24,9,15,43,12,90,37,31,11,52,49,
122,6,7,2,115,15,2,67,59,98,7,4,2,3,10,17,12,15,55,26,86,8,73,56,21,13,42,12,123,6,48,18,72,33,36,571,63,8,34,66,198,140,30,7,1,12,4,23,10,47,27,18,20,53,29,20,30,71,
